Optimal - objective value -362.52469581
     26 squad[7,23]                                   1                       0
     27 squad[7,24]                                   1                       0
     28 squad[7,25]                                   1                       0
     29 squad[7,26]                                   1                       0
     60 squad[13,21]                                  1                       0
     61 squad[13,22]                                  1                       0
     62 squad[13,23]                                  1                       0
     63 squad[13,24]                                  1                       0
     64 squad[13,25]                                  1                       0
     65 squad[13,26]                                  1                       0
     78 squad[16,21]                                  1                       0
     79 squad[16,22]                                  1                       0
     80 squad[16,23]                                  1                       0
     81 squad[16,24]                                  1                       0
     82 squad[16,25]                                  1                       0
     83 squad[16,26]                                  1                       0
     90 squad[19,21]                                  1                       0
     91 squad[19,22]                                  1                       0
    903 squad[106,24]                                 1                       0
    904 squad[106,25]                                 1                       0
    905 squad[106,26]                                 1                       0
    909 squad[107,24]                                 1                       0
    910 squad[107,25]                                 1                       0
    911 squad[107,26]                                 1                       0
    924 squad[113,21]                                 1                       0
    925 squad[113,22]                                 1                       0
    926 squad[113,23]                                 1                       0
    927 squad[113,24]                                 1                       0
    928 squad[113,25]                                 1                       0
    929 squad[113,26]                                 1                       0
   1182 squad[142,21]                                 1                       0
   1205 squad[145,26]                                 1                       0
   1866 squad[210,21]                                 1                       0
   1938 squad[346,21]                                 1                       0
   1939 squad[346,22]                                 1                       0
   1940 squad[346,23]                                 1                       0
   1941 squad[346,24]                                 1                       0
   1942 squad[346,25]                                 1                       0
   1943 squad[346,26]                                 1                       0
   2419 squad[619,22]                                 1                       0
   2420 squad[619,23]                                 1                       0
   2421 squad[619,24]                                 1                       0
   2422 squad[619,25]                                 1                       0
   2423 squad[619,26]                                 1                       0
   2512 squad[283,25]                                 1                       0
   2513 squad[283,26]                                 1                       0
   2520 squad[285,21]                                 1                       0
   2521 squad[285,22]                                 1                       0
   2522 squad[285,23]                                 1                       0
   2523 squad[285,24]                                 1                       0
   2524 squad[285,25]                                 1                       0
   2525 squad[285,26]                                 1                       0
   2586 squad[297,21]                                 1                       0
   2587 squad[297,22]                                 1                       0
   2588 squad[297,23]                                 1                       0
   2589 squad[297,24]                                 1                       0
   2590 squad[297,25]                                 1                       0
   2712 squad[307,21]                                 1                       0
   2713 squad[307,22]                                 1                       0
   2714 squad[307,23]                                 1                       0
   2715 squad[307,24]                                 1                       0
   2716 squad[307,25]                                 1                       0
   2717 squad[307,26]                                 1                       0
   2718 squad[308,21]                                 1                       0
   2719 squad[308,22]                                 1                       0
   2720 squad[308,23]                                 1                       0
   2721 squad[308,24]                                 1                       0
   2722 squad[308,25]                                 1                       0
   2723 squad[308,26]                                 1                       0
   2772 squad[318,21]                                 1                       0
   2773 squad[318,22]                                 1                       0
   2774 squad[318,23]                                 1                       0
   2775 squad[318,24]                                 1                       0
   2776 squad[318,25]                                 1                       0
   2777 squad[318,26]                                 1                       0
   2898 squad[332,21]                                 1                       0
   2899 squad[332,22]                                 1                       0
   2900 squad[332,23]                                 1                       0
   2901 squad[332,24]                                 1                       0
   2902 squad[332,25]                                 1                       0
   2903 squad[332,26]                                 1                       0
   2905 squad[333,22]                                 1                       0
   2906 squad[333,23]                                 1                       0
   2907 squad[333,24]                                 1                       0
   2916 squad[335,21]                                 1                       0
   2917 squad[335,22]                                 1                       0
   2918 squad[335,23]                                 1                       0
   3126 squad[357,21]                                 1                       0
   3127 squad[357,22]                                 1                       0
   3128 squad[357,23]                                 1                       0
   4425 lineup[7,23]                                  1               -8.570697
   4426 lineup[7,24]                                  1                -3.82484
   4427 lineup[7,25]                                  1                -5.75811
   4428 lineup[7,26]                                  1               -6.041889
   4454 lineup[13,22]                                 1               -5.041363
   4455 lineup[13,23]                                 1               -9.500063
   4456 lineup[13,24]                                 1               -4.619894
   4457 lineup[13,25]                                 1               -4.283076
   4458 lineup[13,26]                                 1               -6.916009
   4470 lineup[16,23]                                 1               -6.258473
   4472 lineup[16,25]                                 1                -4.82647
   4473 lineup[16,26]                                 1               -5.306839
   4479 lineup[19,22]                                 1               -5.279769
   5156 lineup[106,24]                                1               -4.045523
   5158 lineup[106,26]                                1               -5.799682
   5161 lineup[107,24]                                1               -5.276267
   5163 lineup[107,26]                                1                -5.41734
   5174 lineup[113,22]                                1               -4.191962
   5178 lineup[113,26]                                1               -5.796512
   5408 lineup[145,26]                                1               -5.244356
   6022 lineup[346,25]                                1               -3.697895
   6419 lineup[619,22]                                1               -6.063397
   6421 lineup[619,24]                                1               -3.587387
   6422 lineup[619,25]                                1               -3.289453
   6497 lineup[283,25]                                1               -8.180996
   6498 lineup[283,26]                                1               -5.016688
   6504 lineup[285,22]                                1               -4.568085
   6505 lineup[285,23]                                1               -5.405655
   6507 lineup[285,25]                                1               -7.141257
   6508 lineup[285,26]                                1               -3.443642
   6559 lineup[297,22]                                1               -5.369336
   6560 lineup[297,23]                                1               -4.839364
   6561 lineup[297,24]                                1               -4.378927
   6562 lineup[297,25]                                1               -8.070697
   6665 lineup[307,23]                                1               -7.684267
   6666 lineup[307,24]                                1               -4.367467
   6667 lineup[307,25]                                1                -4.09391
   6670 lineup[308,23]                                1               -6.533795
   6671 lineup[308,24]                                1               -3.925355
   6672 lineup[308,25]                                1               -3.563475
   6673 lineup[308,26]                                1               -4.577832
   6714 lineup[318,22]                                1               -5.675644
   6715 lineup[318,23]                                1               -10.03456
   6716 lineup[318,24]                                1               -5.987676
   6717 lineup[318,25]                                1               -6.795583
   6718 lineup[318,26]                                1               -6.258458
   6819 lineup[332,22]                                1               -8.138433
   6821 lineup[332,24]                                1               -4.153776
   6824 lineup[333,22]                                1               -12.42599
   6825 lineup[333,23]                                1               -5.792815
   6826 lineup[333,24]                                1               -5.706525
   6834 lineup[335,22]                                1               -12.17793
   6835 lineup[335,23]                                1               -5.172982
   7009 lineup[357,22]                                1               -5.206833
   7010 lineup[357,23]                                1               -5.283776
   8128 captain[13,26]                                1               -6.916009
  10167 captain[283,25]                               1               -8.180996
  10385 captain[318,23]                               1               -10.03456
  10386 captain[318,24]                               1               -5.987676
  10494 captain[333,22]                               1               -12.42599
  11795 vicecap[13,23]                                1              -0.9500063
  13902 vicecap[297,25]                               1              -0.8070697
  14058 vicecap[318,26]                               1              -0.6258458
  14166 vicecap[333,24]                               1              -0.5706525
  14174 vicecap[335,22]                               1               -1.217793
  15675 bench[16,22,1]                                1              -0.8620702
  15684 bench[16,24,2]                                1              -0.1841125
  18427 bench[106,25,1]                               1                       0
  18449 bench[107,25,3]                               1                       0
  18498 bench[113,23,0]                               1              -0.1191565
  18502 bench[113,24,0]                               1              -0.1133364
  18506 bench[113,25,0]                               1                       0
  21877 bench[346,22,3]                               1            -0.005214763
  21879 bench[346,23,1]                               1              -0.7994706
  21885 bench[346,24,3]                               1            -0.005930754
  21892 bench[346,26,2]                               1              -0.1655218
  23481 bench[619,23,3]                               1            -0.004748165
  23491 bench[619,26,1]                               1              -0.6433335
  23823 bench[285,24,1]                               1              -0.6870863
  24454 bench[307,22,0]                               1              -0.1161062
  24470 bench[307,26,0]                               1              -0.1248626
  24476 bench[308,22,2]                               1              -0.1750299
  25080 bench[332,23,2]                               1              -0.1887029
  25088 bench[332,25,2]                               1                       0
  25093 bench[332,26,3]                               1             -0.00441943
  30115 transfer_in[7,23]                             1                       0
  30846 transfer_in[106,24]                           1                       0
  30851 transfer_in[107,24]                           1                       0
  31098 transfer_in[145,26]                           1                       0
  32109 transfer_in[619,22]                           1                       0
  32187 transfer_in[283,25]                           1                       0
  32514 transfer_in[333,22]                           1                       0
  33840 transfer_out[19,23]                           1                       0
  34749 transfer_out[142,22]                          1                       0
  35319 transfer_out[210,22]                          1                       0
  35923 transfer_out[297,26]                          1                       0
  36187 transfer_out[333,25]                          1                       0
  36196 transfer_out[335,24]                          1                       0
  36371 transfer_out[357,24]                          1                       0
  37434 itb[21]                                     0.9                       0
  37435 itb[22]                                     0.3                       0
  37436 itb[23]                                     0.1                       0
  37437 itb[24]                                     3.1                       0
  37438 itb[25]                                     0.3                       0
  37439 itb[26]                                     1.3                       0
  37440 ft[21]                                        1                       0
  37441 ft[22]                                        1                       0
  37442 ft[23]                                        1                       0
  37443 ft[24]                                        1                       0
  37444 ft[25]                                        1                       0
  37445 ft[26]                                        1                       0
  37446 pt[22]                                        1                       4
  37448 pt[24]                                        1                       4
